c,Energy,FatTot,FatSat,Sodium,Protein
Brie,1508,30.0,21.0,629,23.4
Mt Domet Brie,1689,36.5,25.0,629,19.9
Camembert,1496,32.0,22.0,629,18.4
Chef's Brie,1496,32.0,22.0,629,18.4
Caterer's Brie Log,1598,32.0,22.0,629,24.4
Farmhouse,1672,32.9,23.0,707,26.8
Airedale,1672,32.9,23.0,707,26.8
Livingstone Gold,1672,32.9,23.0,707,26.8
Totara Tasty,1753,35.8,23.8,750,24.4
Creamy Havarti,1751,38.0,25.2,750,20.3
Windsor Blue,1883,43.5,30.5,1140,16.1
Moeraki Blue Bay,1838,41.0,28.7,825,18.9
Highland Blue,1500,30.0,19.5,1140,23.1
Monte Cristo,1637,31.1,21.2,707,28.6
Island Stream,1786,33.9,23.0,707,31.3
Stoney Hill Feta,1368,26.0,17.7,629,23.9
Mt Dasher Feta,1368,26.0,17.7,629,23.9
Fuschia Creek Feta,1363,27.0,18.9,629,21.4
Manuka Feta,1363,27.0,18.9,629,21.4
